2016-04-26 22:52:10,053 [INFO  IM] - <RouteServConn.cpp>|<139>|<Connect>,Connecting to RouteServer 192.168.1.38:8200 
2016-04-26 22:52:10,053 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.38, port=8200
2016-04-26 22:52:10,053 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.38:8500 
2016-04-26 22:52:10,053 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.38, port=8500
2016-04-26 22:52:10,053 [INFO  IM] - <FileServConn.cpp>|<152>|<OnClose>,onclose from file server handle=7 
2016-04-26 22:52:10,053 [INFO  IM] - <DBServConn.cpp>|<189>|<OnConfirm>,connect to db server success
2016-04-26 22:52:10,053 [INFO  IM] - <DBServConn.cpp>|<189>|<OnConfirm>,connect to db server success
2016-04-26 22:52:10,053 [INFO  IM] - <DBServConn.cpp>|<189>|<OnConfirm>,connect to db server success
2016-04-26 22:52:10,053 [INFO  IM] - <DBServConn.cpp>|<189>|<OnConfirm>,connect to db server success
2016-04-26 22:52:10,053 [INFO  IM] - <LoginServConn.cpp>|<126>|<OnConfirm>,connect to login server success 
2016-04-26 22:52:10,053 [INFO  IM] - <LoginServConn.cpp>|<126>|<OnConfirm>,connect to login server success 
2016-04-26 22:52:10,053 [INFO  IM] - <RouteServConn.cpp>|<168>|<OnConfirm>,connect to route server success 
2016-04-26 22:52:10,053 [INFO  IM] - <RouteServConn.cpp>|<180>|<OnConfirm>,online_user_list=0
2016-04-26 22:52:10,053 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2016-04-26 22:52:18,018 [INFO  IM] - <FileServConn.cpp>|<112>|<Connect>,Connecting to FileServer 192.168.1.38:8600 
2016-04-26 22:52:18,018 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.38, port=8600
2016-04-26 22:52:18,018 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.38:8500 
2016-04-26 22:52:18,018 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.38, port=8500
2016-04-26 22:52:18,018 [INFO  IM] - <FileServConn.cpp>|<152>|<OnClose>,onclose from file server handle=7 
2016-04-26 22:52:18,018 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=15 
2016-04-26 22:52:21,247 [INFO  IM] - <BaseSocket.cpp>|<329>|<_AcceptNewSocket>,AcceptNewSocket2, socket=7 from 192.168.1.45:36729

2016-04-26 22:52:21,247 [INFO  IM] - <msg_server.cpp>|<27>|<msg_serv_callback>,msg_serv_callback----: 1 
2016-04-26 22:52:21,326 [INFO  IM] - <MsgConn.cpp>|<301>|<HandlePdu>,HandlePdu, -------------. 
2016-04-26 22:52:21,326 [INFO  IM] - <MsgConn.cpp>|<502>|<_HandleLoginRequest>,HandleLoginReq, user_name=test1, status=1, client_type=18, client=1.0.0, 
2016-04-26 22:52:21,337 [INFO  IM] - <DBServConn.cpp>|<339>|<_HandleValidateResponse>,HandleValidateResp, user_name=test1, result=0
2016-04-26 22:52:21,337 [INFO  IM] - <DBServConn.cpp>|<396>|<_HandleValidateResponse>,user_name  CID_OTHER_SERVER_KICK_USER111
2016-04-26 22:52:21,337 [INFO  IM] - <DBServConn.cpp>|<409>|<_HandleValidateResponse>,user_name  CID_OTHER_SERVER_KICK_USER
2016-04-26 22:52:21,337 [INFO  IM] - <DBServConn.cpp>|<412>|<_HandleValidateResponse>,user_name: test1, uid: 1
2016-04-26 22:52:22,139 [INFO  IM] - <MsgConn.cpp>|<301>|<HandlePdu>,HandlePdu, -------------. 
2016-04-26 22:52:22,139 [INFO  IM] - <MsgConn.cpp>|<993>|<_HandleClientDepartmentRequest>,HandleClientDepartmentRequest, user_id=1, latest_update_time=0.
2016-04-26 22:52:22,149 [INFO  IM] - <DBServConn.cpp>|<917>|<_HandleDepartmentResponse>,HandleDepartmentResponse, user_id=1, latest_update_time=0, dept_cnt=0.
2016-04-26 22:52:22,158 [INFO  IM] - <MsgConn.cpp>|<301>|<HandlePdu>,HandlePdu, -------------. 
2016-04-26 22:52:22,158 [INFO  IM] - <MsgConn.cpp>|<939>|<_HandleClientAllUserRequest>,HandleClientAllUserReq, user_id=1, latest_update_time=1461682200. 
2016-04-26 22:52:22,162 [INFO  IM] - <MsgConn.cpp>|<301>|<HandlePdu>,HandlePdu, -------------. 
2016-04-26 22:52:22,163 [INFO  IM] - <GroupChat.cpp>|<37>|<HandleClientGroupNormalRequest>,HandleClientGroupNormalRequest, user_id=1. 
2016-04-26 22:52:22,163 [INFO  IM] - <DBServConn.cpp>|<497>|<_HandleAllUserResponse>,HandleAllUserResponse, userId=1, latest_update_time=1461682200, user_cnt=1
2016-04-26 22:52:22,173 [INFO  IM] - <GroupChat.cpp>|<71>|<HandleGroupNormalResponse>,HandleGroupNormalResponse, user_id=1, group_cnt=0. 
2016-04-26 22:52:22,178 [INFO  IM] - <MsgConn.cpp>|<301>|<HandlePdu>,HandlePdu, -------------. 
2016-04-26 22:52:22,178 [INFO  IM] - <MsgConn.cpp>|<617>|<_HandleClientRecentContactSessionRequest>,HandleClientRecentContactSessionRequest, user_id=1, latest_update_time=0. 
2016-04-26 22:52:22,182 [INFO  IM] - <MsgConn.cpp>|<301>|<HandlePdu>,HandlePdu, -------------. 
2016-04-26 22:52:22,182 [INFO  IM] - <MsgConn.cpp>|<752>|<_HandleClientUnreadMsgCntRequest>,HandleClientUnreadMsgCntReq, from_id=1 
2016-04-26 22:52:22,182 [INFO  IM] - <DBServConn.cpp>|<470>|<_HandleRecentSessionResponse>,HandleRecentSessionResponse, userId=1, session_cnt=0
2016-04-26 22:52:22,193 [INFO  IM] - <DBServConn.cpp>|<813>|<_HandleUnreadMsgCountResponse>,HandleUnreadMsgCntResp, userId=1, total_cnt=0, user_unread_cnt=0.
2016-04-26 22:52:28,581 [INFO  IM] - <MsgConn.cpp>|<301>|<HandlePdu>,HandlePdu, -------------. 
2016-04-26 22:52:28,582 [INFO  IM] - <MsgConn.cpp>|<1157>|<_HandleClientListAddUserRequest>,_HandleClientListAddUserRequest-------------------------------, user_id=1 
2016-04-26 22:52:28,593 [INFO  IM] - <DBServConn.cpp>|<622>|<_HandleQueryUserRequestResponse>,_HandleQueryUserRequestResponse, userId=1
2016-04-26 22:52:34,105 [INFO  IM] - <FileServConn.cpp>|<112>|<Connect>,Connecting to FileServer 192.168.1.38:8600 
2016-04-26 22:52:34,105 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.38, port=8600
2016-04-26 22:52:34,105 [INFO  IM] - <PushServConn.cpp>|<128>|<Connect>,Connecting to Push Server 192.168.1.38:8500 
2016-04-26 22:52:34,105 [INFO  IM] - <BaseSocket.cpp>|<90>|<Connect>,CBaseSocket::Connect, server_ip=192.168.1.38, port=8500
2016-04-26 22:52:34,105 [INFO  IM] - <FileServConn.cpp>|<152>|<OnClose>,onclose from file server handle=15 
2016-04-26 22:52:34,105 [INFO  IM] - <PushServConn.cpp>|<163>|<OnClose>,onclose from push server handle=16 
